IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
3.143.252.184,443,443,true,ORD,North America,Chicago,223,7.30
52.12.162.159,443,443,true,PDX,North America,Portland,199,7.30
204.110.221.136,80,443,true,PDX,North America,Portland,197,7.29
3.144.13.226,443,443,true,ORD,North America,Chicago,233,7.29
3.130.13.244,80,443,true,CMH,North America,Columbus,221,7.29
18.218.130.227,443,443,true,ORD,North America,Chicago,221,7.28
18.236.253.142,443,443,true,PDX,North America,Portland,203,7.28
3.17.1.152,80,443,true,CMH,North America,Columbus,221,7.28
3.140.142.249,2053,443,true,CMH,North America,Columbus,221,7.27
18.216.67.217,443,443,true,ORD,North America,Chicago,222,7.27
3.145.214.201,443,443,true,ORD,North America,Chicago,222,7.26
3.133.88.94,443,443,true,ORD,North America,Chicago,225,7.26
204.110.220.3,443,443,true,PDX,North America,Portland,226,7.26
3.144.105.242,443,443,true,ORD,North America,Chicago,222,7.25
35.165.233.153,443,443,true,PDX,North America,Portland,200,7.25
3.20.218.45,80,443,true,CMH,North America,Columbus,225,7.25
18.189.26.220,443,443,true,ORD,North America,Chicago,233,7.25
3.141.202.105,443,443,true,ORD,North America,Chicago,228,7.25
18.191.208.117,443,443,true,ORD,North America,Chicago,225,7.25
52.24.24.244,443,443,true,PDX,North America,Portland,201,7.24
54.68.7.16,443,443,true,SEA,North America,Seattle,215,7.24
35.166.128.31,443,443,true,PDX,North America,Portland,196,7.23
18.118.12.100,443,443,true,ORD,North America,Chicago,229,7.23
35.93.221.113,443,443,true,PDX,North America,Portland,199,7.23
13.59.171.225,443,443,true,ORD,North America,Chicago,232,7.23
34.214.113.200,443,443,true,PDX,North America,Portland,199,7.23
18.188.242.214,443,443,true,ORD,North America,Chicago,229,7.22
18.189.131.121,80,443,true,CMH,North America,Columbus,224,7.22
204.110.220.12,443,443,true,PDX,North America,Portland,218,7.22
13.58.53.57,443,443,true,ORD,North America,Chicago,225,7.21
3.15.226.220,443,443,true,ORD,North America,Chicago,232,7.21
204.110.221.12,80,443,true,PDX,North America,Portland,204,7.21
35.87.234.242,443,443,true,PDX,North America,Portland,213,7.20
18.192.214.17,443,443,true,FRA,Europe,Frankfurt,169,7.20
34.221.90.146,443,443,true,PDX,North America,Portland,197,7.20
18.116.118.32,443,443,true,ORD,North America,Chicago,224,7.20
3.21.181.40,80,443,true,CMH,North America,Columbus,225,7.20
18.217.103.80,2053,443,true,CMH,North America,Columbus,220,7.19
18.222.111.52,443,443,true,ORD,North America,Chicago,224,7.19
18.220.138.213,80,443,true,CMH,North America,Columbus,224,7.18
18.116.52.88,443,443,true,ORD,North America,Chicago,232,7.18
18.188.233.235,443,443,true,ORD,North America,Chicago,231,7.17
3.133.129.138,2053,443,true,CMH,North America,Columbus,224,7.17
18.237.78.241,443,443,true,PDX,North America,Portland,201,7.16
3.18.162.191,2096,443,true,CMH,North America,Columbus,224,7.16
18.236.13.188,80,443,true,PDX,North America,Portland,201,7.16
18.119.160.39,443,443,true,ORD,North America,Chicago,227,7.15
35.95.34.207,443,443,true,PDX,North America,Portland,201,7.15
18.118.152.25,443,443,true,ORD,North America,Chicago,226,7.15
35.87.35.82,443,443,true,PDX,North America,Portland,197,7.15
18.223.107.2,443,443,true,ORD,North America,Chicago,224,7.14
54.186.30.140,443,443,true,PDX,North America,Portland,203,7.14
18.190.155.109,443,443,true,ORD,North America,Chicago,225,7.14
34.208.121.47,443,443,true,PDX,North America,Portland,241,7.14
3.137.190.29,443,443,true,ORD,North America,Chicago,232,7.13
34.220.63.76,443,443,true,PDX,North America,Portland,202,7.12
15.156.64.224,2053,443,true,YUL,North America,Montréal,242,7.12
204.110.221.143,80,443,true,PDX,North America,Portland,197,7.12
18.220.219.189,80,443,true,CMH,North America,Columbus,224,7.12
67.226.222.126,80,443,true,CMH,North America,Columbus,224,7.11
35.89.154.20,443,443,true,PDX,North America,Portland,196,7.11
204.110.220.206,80,443,true,PDX,North America,Portland,202,7.11
18.188.82.222,443,443,true,ORD,North America,Chicago,220,7.11
18.191.228.165,443,443,true,ORD,North America,Chicago,220,7.11
3.145.106.130,443,443,true,ORD,North America,Chicago,222,7.10
3.99.184.129,443,443,true,YUL,North America,Montréal,281,7.10
18.220.36.34,443,443,true,ORD,North America,Chicago,220,7.10
204.110.220.42,80,443,true,PDX,North America,Portland,217,7.09
18.236.157.38,443,443,true,PDX,North America,Portland,198,7.08
67.226.222.50,80,443,true,CMH,North America,Columbus,224,7.08
13.58.95.17,443,443,true,ORD,North America,Chicago,221,7.08
18.217.134.116,443,443,true,ORD,North America,Chicago,225,7.08
54.218.79.211,443,443,true,SEA,North America,Seattle,199,7.07
3.98.54.22,2053,443,true,YUL,North America,Montréal,247,7.07
35.88.51.90,443,443,true,PDX,North America,Portland,199,7.07
3.12.251.122,80,443,true,CMH,North America,Columbus,225,7.07
204.110.221.117,80,443,true,PDX,North America,Portland,211,7.06
3.149.214.244,443,443,true,ORD,North America,Chicago,221,7.06
18.116.85.159,443,443,true,ORD,North America,Chicago,226,7.06
204.110.220.169,80,443,true,PDX,North America,Portland,208,7.05
204.110.220.131,80,443,true,PDX,North America,Portland,202,7.05
35.93.185.80,443,443,true,PDX,North America,Portland,206,7.05
67.226.222.135,80,443,true,CMH,North America,Columbus,224,7.03
13.59.141.200,443,443,true,ORD,North America,Chicago,224,7.03
18.224.53.31,443,443,true,ORD,North America,Chicago,224,7.03
18.222.207.150,443,443,true,ORD,North America,Chicago,220,7.03
35.94.78.45,80,443,true,PDX,North America,Portland,200,7.02
204.110.223.105,80,443,true,CMH,North America,Columbus,224,7.02
204.110.221.218,80,443,true,PDX,North America,Portland,197,7.01
204.110.221.72,80,443,true,PDX,North America,Portland,198,7.01
15.222.27.72,2053,443,true,YUL,North America,Montréal,247,7.01
3.135.218.90,443,443,true,ORD,North America,Chicago,224,7.00
3.131.124.96,80,443,true,CMH,North America,Columbus,233,7.00
3.98.54.22,8443,443,true,YUL,North America,Montréal,243,7.00
204.110.223.156,80,443,true,CMH,North America,Columbus,224,7.00
3.136.154.133,443,443,true,ORD,North America,Chicago,220,6.99
18.191.165.205,443,443,true,ORD,North America,Chicago,234,6.99
52.88.169.104,443,443,true,PDX,North America,Portland,201,6.99
18.222.115.231,443,443,true,ORD,North America,Chicago,224,6.98
44.243.54.4,443,443,true,PDX,North America,Portland,200,6.98
204.110.223.196,80,443,true,CMH,North America,Columbus,221,6.97
35.87.101.200,443,443,true,PDX,North America,Portland,203,6.97
204.110.223.132,80,443,true,CMH,North America,Columbus,225,6.97
18.188.183.19,443,443,true,ORD,North America,Chicago,227,6.97
204.110.223.203,80,443,true,CMH,North America,Columbus,226,6.97
67.226.222.2,80,443,true,CMH,North America,Columbus,225,6.97
18.220.182.220,443,443,true,ORD,North America,Chicago,220,6.97
34.210.242.249,443,443,true,PDX,North America,Portland,197,6.97
67.226.222.193,80,443,true,CMH,North America,Columbus,227,6.96
18.218.117.87,2053,443,true,CMH,North America,Columbus,225,6.96
204.110.223.215,443,443,true,CMH,North America,Columbus,221,6.96
54.203.60.209,443,443,true,PDX,North America,Portland,198,6.96
18.216.214.66,443,443,true,ORD,North America,Chicago,221,6.95
3.144.191.4,443,443,true,CMH,North America,Columbus,223,6.94
18.191.220.110,443,443,true,ORD,North America,Chicago,220,6.94
3.131.118.1,80,443,true,CMH,North America,Columbus,221,6.93
3.138.154.138,443,443,true,ORD,North America,Chicago,220,6.92
67.226.222.174,80,443,true,CMH,North America,Columbus,296,6.92
204.110.220.11,80,443,true,PDX,North America,Portland,203,6.92
18.224.32.28,443,443,true,ORD,North America,Chicago,225,6.92
18.118.3.207,443,443,true,ORD,North America,Chicago,228,6.91
67.226.223.240,80,443,true,CMH,North America,Columbus,222,6.91
204.110.223.245,80,443,true,CMH,North America,Columbus,224,6.91
3.14.148.155,443,443,true,ORD,North America,Chicago,224,6.90
204.110.223.104,80,443,true,CMH,North America,Columbus,225,6.89
204.110.223.181,80,443,true,CMH,North America,Columbus,224,6.89
18.191.98.105,443,443,true,ORD,North America,Chicago,224,6.89
204.110.223.94,80,443,true,CMH,North America,Columbus,220,6.89
52.27.219.182,443,443,true,PDX,North America,Portland,197,6.89
3.141.12.205,443,443,true,ORD,North America,Chicago,247,6.89
3.144.122.213,443,443,true,ORD,North America,Chicago,225,6.88
18.189.2.229,443,443,true,ORD,North America,Chicago,225,6.88
18.217.135.216,80,443,true,CMH,North America,Columbus,225,6.88
18.191.157.76,443,443,true,ORD,North America,Chicago,226,6.88
67.226.222.2,443,443,true,CMH,North America,Columbus,221,6.88
35.167.93.200,443,443,true,PDX,North America,Portland,203,6.88
34.222.120.254,443,443,true,PDX,North America,Portland,209,6.88
35.94.67.158,443,443,true,PDX,North America,Portland,201,6.88
18.222.22.60,443,443,true,ORD,North America,Chicago,228,6.87
204.110.221.219,80,443,true,PDX,North America,Portland,203,6.86
