IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
140.238.121.142,443,443,true,FRA,Europe,Frankfurt,207,7.47
158.180.31.188,443,443,true,FRA,Europe,Frankfurt,176,7.47
141.147.72.201,443,443,true,FRA,Europe,Frankfurt,179,7.46
132.226.202.30,443,443,true,FRA,Europe,Frankfurt,189,7.43
138.2.174.167,443,443,true,FRA,Europe,Frankfurt,161,7.42
141.147.102.214,443,443,true,FRA,Europe,Frankfurt,203,7.40
141.147.87.33,443,443,true,FRA,Europe,Frankfurt,170,7.40
141.144.195.66,443,443,true,FRA,Europe,Frankfurt,176,7.38
144.21.52.2,443,443,true,FRA,Europe,Frankfurt,169,7.36
141.147.82.97,443,443,true,FRA,Europe,Frankfurt,174,7.34
130.162.189.238,443,443,true,FRA,Europe,Frankfurt,191,7.32
152.67.151.215,443,443,true,FRA,Europe,Frankfurt,173,7.32
141.144.192.37,443,443,true,FRA,Europe,Frankfurt,178,7.30
152.70.56.168,443,443,true,FRA,Europe,Frankfurt,171,7.27
89.168.87.115,443,443,true,FRA,Europe,Frankfurt,177,7.25
158.178.153.80,2096,443,true,AMS,Europe,Amsterdam,202,7.25
130.162.59.68,443,443,true,FRA,Europe,Frankfurt,161,7.24
141.148.245.125,443,443,true,FRA,Europe,Frankfurt,201,7.24
143.47.252.2,443,443,true,FRA,Europe,Frankfurt,196,7.23
143.47.242.207,443,443,true,FRA,Europe,Frankfurt,174,7.22
141.148.243.13,443,443,true,FRA,Europe,Frankfurt,189,7.20
150.230.22.241,443,443,true,FRA,Europe,Frankfurt,189,7.20
144.24.180.34,443,443,true,FRA,Europe,Frankfurt,181,7.20
141.144.198.82,443,443,true,FRA,Europe,Frankfurt,177,7.19
84.235.168.174,443,443,true,FRA,Europe,Frankfurt,179,7.16
144.21.32.168,443,443,true,FRA,Europe,Frankfurt,181,7.16
79.72.67.62,443,443,true,FRA,Europe,Frankfurt,176,7.16
141.148.247.43,443,443,true,FRA,Europe,Frankfurt,181,7.16
141.147.114.127,443,443,true,FRA,Europe,Frankfurt,161,7.15
132.145.232.171,443,443,true,FRA,Europe,Frankfurt,174,7.15
84.235.163.35,443,443,true,FRA,Europe,Frankfurt,176,7.14
129.159.206.135,443,443,true,FRA,Europe,Frankfurt,168,7.13
89.168.125.94,443,443,true,FRA,Europe,Frankfurt,169,7.12
158.101.221.105,443,443,true,FRA,Europe,Frankfurt,187,7.10
84.8.157.150,443,443,true,FRA,Europe,Frankfurt,211,7.09
68.233.127.163,8443,443,true,YUL,North America,Montréal,241,7.08
143.47.191.127,443,443,true,FRA,Europe,Frankfurt,174,7.05
143.47.254.3,443,443,true,FRA,Europe,Frankfurt,170,7.04
130.61.170.78,443,443,true,FRA,Europe,Frankfurt,178,7.03
143.47.183.95,443,443,true,FRA,Europe,Frankfurt,177,7.03
144.21.43.231,443,443,true,FRA,Europe,Frankfurt,165,7.02
141.147.85.247,443,443,true,FRA,Europe,Frankfurt,159,7.01
193.123.58.21,443,443,true,FRA,Europe,Frankfurt,187,7.00
158.101.202.36,443,443,true,FRA,Europe,Frankfurt,180,6.98
84.235.166.134,443,443,true,FRA,Europe,Frankfurt,196,6.98
143.47.185.166,443,443,true,FRA,Europe,Frankfurt,173,6.95
152.67.141.201,443,443,true,FRA,Europe,Frankfurt,199,6.91
141.148.232.43,443,443,true,FRA,Europe,Frankfurt,180,6.90
40.233.70.7,8443,443,true,YYZ,North America,Toronto,229,6.89
152.70.48.90,443,443,true,FRA,Europe,Frankfurt,182,6.88
143.47.235.7,443,443,true,FRA,Europe,Frankfurt,168,6.87
164.152.26.70,2086,443,true,ORD,North America,Chicago,211,6.86
144.21.36.59,443,443,true,FRA,Europe,Frankfurt,181,6.84
144.24.160.5,443,443,true,FRA,Europe,Frankfurt,193,6.81
144.21.38.206,443,443,true,FRA,Europe,Frankfurt,166,6.81
158.101.217.149,443,443,true,FRA,Europe,Frankfurt,176,6.81
141.144.235.218,443,443,true,FRA,Europe,Frankfurt,167,6.80
138.2.173.197,443,443,true,FRA,Europe,Frankfurt,189,6.76
141.147.65.104,443,443,true,FRA,Europe,Frankfurt,170,6.76
130.162.190.130,443,443,true,FRA,Europe,Frankfurt,196,6.76
152.70.58.243,443,443,true,FRA,Europe,Frankfurt,223,6.75
141.147.101.97,443,443,true,FRA,Europe,Frankfurt,195,6.75
139.185.34.131,443,443,true,DXB,Middle East,Dubai,122,6.75
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,162,6.74
132.226.210.33,443,443,true,FRA,Europe,Frankfurt,197,6.73
193.122.197.111,443,443,true,IAD,North America,Ashburn,232,6.71
130.162.188.141,443,443,true,FRA,Europe,Frankfurt,173,6.71
129.159.198.124,443,443,true,FRA,Europe,Frankfurt,182,6.71
130.162.160.192,443,443,true,FRA,Europe,Frankfurt,189,6.69
150.230.124.222,443,443,true,FRA,Europe,Frankfurt,179,6.68
158.178.146.13,443,443,true,FRA,Europe,Frankfurt,175,6.66
143.47.224.15,443,443,true,FRA,Europe,Frankfurt,188,6.65
193.123.69.77,443,443,true,CDG,Europe,Paris,76,6.62
141.144.245.17,443,443,true,FRA,Europe,Frankfurt,191,6.61
141.147.85.211,443,443,true,FRA,Europe,Frankfurt,173,6.55
152.70.63.26,443,443,true,FRA,Europe,Frankfurt,189,6.54
141.144.249.115,443,443,true,FRA,Europe,Frankfurt,175,6.53
132.145.54.84,2053,443,true,LHR,Europe,London,162,6.53
155.248.204.33,443,443,true,SJC,North America,San Jose,170,6.53
129.146.248.140,443,443,true,LAX,North America,Los Angeles,176,6.51
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,185,6.51
141.147.108.160,443,443,true,FRA,Europe,Frankfurt,169,6.50
143.47.254.214,443,443,true,FRA,Europe,Frankfurt,173,6.47
143.47.185.127,443,443,true,FRA,Europe,Frankfurt,173,6.46
84.235.171.31,443,443,true,FRA,Europe,Frankfurt,180,6.46
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,165,6.44
143.47.189.249,443,443,true,FRA,Europe,Frankfurt,179,6.43
130.162.225.13,443,443,true,FRA,Europe,Frankfurt,181,6.41
141.147.82.115,443,443,true,FRA,Europe,Frankfurt,160,6.39
158.101.220.219,443,443,true,FRA,Europe,Frankfurt,185,6.39
158.101.202.47,443,443,true,FRA,Europe,Frankfurt,176,6.38
138.2.154.64,443,443,true,FRA,Europe,Frankfurt,183,6.35
143.47.182.147,443,443,true,FRA,Europe,Frankfurt,172,6.33
141.147.70.62,443,443,true,FRA,Europe,Frankfurt,174,6.28
130.162.170.143,443,443,true,FRA,Europe,Frankfurt,172,6.28
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,1,6.26
144.21.40.211,443,443,true,FRA,Europe,Frankfurt,175,6.26
141.144.203.153,443,443,true,FRA,Europe,Frankfurt,180,6.22
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,171,6.17
141.144.192.162,443,443,true,FRA,Europe,Frankfurt,183,6.14
130.162.162.91,443,443,true,FRA,Europe,Frankfurt,175,6.12
192.9.142.3,443,443,true,SJC,North America,San Jose,174,6.05
141.147.67.70,443,443,true,FRA,Europe,Frankfurt,187,6.05
141.147.86.232,443,443,true,FRA,Europe,Frankfurt,179,6.05
84.8.153.164,443,443,true,FRA,Europe,Frankfurt,236,6.04
138.2.163.65,443,443,true,FRA,Europe,Frankfurt,190,6.00
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,241,5.98
138.2.141.245,443,443,true,FRA,Europe,Frankfurt,182,5.93
130.61.181.61,8443,443,true,FRA,Europe,Frankfurt,175,5.93
129.159.241.172,443,443,true,FRA,Europe,Frankfurt,172,5.91
84.8.149.212,443,443,true,FRA,Europe,Frankfurt,263,5.91
138.2.183.135,443,443,true,FRA,Europe,Frankfurt,181,5.90
141.144.230.255,443,443,true,FRA,Europe,Frankfurt,167,5.88
143.47.251.253,443,443,true,FRA,Europe,Frankfurt,183,5.87
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,167,5.80
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,70,5.80
141.145.205.115,8443,8443,true,CDG,Europe,Paris,194,5.75
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,74,5.74
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,65,5.73
132.226.7.217,443,443,true,NRT,Asia Pacific,Tokyo,72,5.67
158.101.141.147,443,443,true,NRT,Asia Pacific,Tokyo,78,5.65
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,69,5.64
140.238.195.98,443,443,true,SYD,Oceania,Sydney,92,5.64
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,178,5.61
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,67,5.60
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,114,5.58
146.235.208.148,443,443,true,SJC,North America,San Jose,173,5.54
141.144.199.4,443,443,true,FRA,Europe,Frankfurt,173,5.52
138.2.156.239,443,443,true,FRA,Europe,Frankfurt,181,5.51
143.47.243.144,2053,443,true,LHR,Europe,London,163,5.47
141.147.178.154,443,443,true,NRT,Asia Pacific,Tokyo,69,5.46
130.162.167.190,443,443,true,FRA,Europe,Frankfurt,178,5.42
152.70.235.207,443,443,true,NRT,Asia Pacific,Tokyo,173,5.41
192.9.180.162,443,443,true,SYD,Oceania,Sydney,93,5.34
141.144.205.140,443,443,true,FRA,Europe,Frankfurt,181,5.32
159.13.46.42,443,443,true,SYD,Oceania,Sydney,126,5.30
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,71,5.23
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,72,5.18
193.122.110.171,443,443,true,NRT,Asia Pacific,Tokyo,114,5.15
152.70.71.23,443,443,true,MRS,Europe,Marseille,45,5.11
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,198,5.08
143.47.243.144,8443,443,true,LHR,Europe,London,153,5.04
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,191,5.01
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,119,4.99
158.178.206.197,8443,443,true,CDG,Europe,Paris,188,4.98
141.144.203.129,443,443,true,FRA,Europe,Frankfurt,178,4.92
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,166,4.90
141.144.253.109,443,443,true,FRA,Europe,Frankfurt,169,4.85
141.147.85.167,8443,443,true,LHR,Europe,London,175,4.80
192.9.159.65,443,443,true,SJC,North America,San Jose,172,4.80
152.67.231.219,443,443,true,SJC,North America,San Jose,173,4.79
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,167,4.75
152.67.78.184,443,443,true,MXP,Europe,Milan,158,4.74
146.235.199.30,443,443,true,SJC,North America,San Jose,171,4.72
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,66,4.70
129.146.220.190,443,443,true,LAX,North America,Los Angeles,179,4.69
144.24.200.164,443,443,true,MRS,Europe,Marseille,160,4.67
143.47.242.195,443,443,true,LHR,Europe,London,181,4.67
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,183,4.62
144.24.189.21,443,443,true,FRA,Europe,Frankfurt,181,4.61
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,189,4.60
146.235.219.98,443,443,true,SJC,North America,San Jose,170,4.60
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,186,4.59
141.148.242.113,8443,443,true,AMS,Europe,Amsterdam,184,4.58
152.67.65.201,443,443,true,MXP,Europe,Milan,147,4.53
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,170,4.52
155.248.196.123,443,443,true,YVR,North America,Vancouver,170,4.51
129.146.254.39,443,443,true,LAX,North America,Los Angeles,183,4.41
158.179.203.23,443,443,true,OSL,Europe,Oslo,174,4.40
