IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.203.191,443,443,true,FRA,Europe,Frankfurt,178,9.53
130.162.163.197,443,443,true,FRA,Europe,Frankfurt,184,9.53
138.2.128.213,443,443,true,FRA,Europe,Frankfurt,191,9.52
89.168.112.118,2096,443,true,FRA,Europe,Frankfurt,170,9.52
143.47.182.44,443,443,true,FRA,Europe,Frankfurt,167,9.51
141.147.43.188,443,443,true,FRA,Europe,Frankfurt,169,9.50
158.101.221.41,443,443,true,FRA,Europe,Frankfurt,183,9.49
141.144.230.255,443,443,true,FRA,Europe,Frankfurt,164,9.48
152.67.130.211,443,443,true,FRA,Europe,Frankfurt,179,9.47
89.168.125.94,443,443,true,FRA,Europe,Frankfurt,211,9.47
129.146.133.33,443,443,true,LAX,North America,Los Angeles,192,9.46
158.101.202.36,443,443,true,FRA,Europe,Frankfurt,185,9.45
141.147.117.101,443,443,true,FRA,Europe,Frankfurt,162,9.45
89.168.68.163,443,443,true,FRA,Europe,Frankfurt,180,9.45
138.2.179.141,443,443,true,FRA,Europe,Frankfurt,163,9.45
89.168.126.80,443,443,true,FRA,Europe,Frankfurt,183,9.43
141.147.78.101,443,443,true,FRA,Europe,Frankfurt,198,9.38
130.162.179.209,443,443,true,FRA,Europe,Frankfurt,160,9.37
144.21.38.211,443,443,true,FRA,Europe,Frankfurt,177,9.37
158.101.220.219,443,443,true,FRA,Europe,Frankfurt,200,9.37
130.162.173.233,443,443,true,FRA,Europe,Frankfurt,178,9.35
141.148.233.82,443,443,true,FRA,Europe,Frankfurt,177,9.35
144.21.58.113,443,443,true,FRA,Europe,Frankfurt,177,9.34
158.180.63.17,443,443,true,FRA,Europe,Frankfurt,176,9.33
141.147.85.169,443,443,true,FRA,Europe,Frankfurt,197,9.30
141.147.75.201,443,443,true,FRA,Europe,Frankfurt,176,9.30
144.24.172.73,443,443,true,FRA,Europe,Frankfurt,171,9.29
130.162.189.50,443,443,true,FRA,Europe,Frankfurt,191,9.26
140.238.121.142,443,443,true,FRA,Europe,Frankfurt,190,9.26
150.230.42.80,443,443,true,SJC,North America,San Jose,180,9.24
130.162.163.57,443,443,true,FRA,Europe,Frankfurt,176,9.23
141.147.92.143,8443,443,true,LHR,Europe,London,182,9.22
141.147.90.86,443,443,true,FRA,Europe,Frankfurt,175,9.20
158.180.25.166,443,443,true,FRA,Europe,Frankfurt,189,9.16
143.47.254.3,443,443,true,FRA,Europe,Frankfurt,179,9.15
158.101.217.149,443,443,true,FRA,Europe,Frankfurt,184,9.11
144.24.243.207,443,443,true,ZRH,Europe,Zurich,183,9.07
141.147.86.232,443,443,true,FRA,Europe,Frankfurt,196,9.03
132.145.254.42,443,443,true,FRA,Europe,Frankfurt,171,8.96
158.180.62.26,443,443,true,FRA,Europe,Frankfurt,163,8.96
141.144.237.200,443,443,true,FRA,Europe,Frankfurt,179,8.94
141.147.84.170,443,443,true,FRA,Europe,Frankfurt,162,8.93
141.147.87.238,443,443,true,FRA,Europe,Frankfurt,187,8.90
158.101.211.105,443,443,true,FRA,Europe,Frankfurt,205,8.90
130.162.162.91,443,443,true,FRA,Europe,Frankfurt,187,8.85
89.168.112.118,2053,443,true,FRA,Europe,Frankfurt,167,8.83
143.47.235.210,443,443,true,FRA,Europe,Frankfurt,185,8.83
141.147.97.165,443,443,true,FRA,Europe,Frankfurt,173,8.70
79.72.69.168,443,443,true,FRA,Europe,Frankfurt,175,8.70
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,165,8.69
141.147.67.70,443,443,true,FRA,Europe,Frankfurt,173,8.68
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,201,8.64
