IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.4.122,2083,2083,true,SIN,Asia Pacific,Singapore,88,5.40
8.210.175.109,8443,8443,true,HKG,Asia Pacific,Hong Kong,90,5.40
8.219.229.190,2096,2096,true,SIN,Asia Pacific,Singapore,15,5.39
8.217.66.3,2053,2053,true,HKG,Asia Pacific,Hong Kong,67,5.39
47.236.144.156,2083,2083,true,SIN,Asia Pacific,Singapore,50,5.39
47.243.18.199,2087,2087,true,HKG,Asia Pacific,Hong Kong,93,5.39
8.217.193.25,2053,2053,true,HKG,Asia Pacific,Hong Kong,93,5.36
8.222.179.231,2087,2087,true,SIN,Asia Pacific,Singapore,86,5.36
8.222.167.147,2087,2087,true,SIN,Asia Pacific,Singapore,61,5.35
47.245.102.52,2083,2083,true,SIN,Asia Pacific,Singapore,16,5.34
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,17,5.34
8.219.237.250,2083,2083,true,SIN,Asia Pacific,Singapore,20,5.34
8.222.167.147,2083,2083,true,SIN,Asia Pacific,Singapore,53,5.33
8.217.248.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,5.33
47.245.118.70,2087,2087,true,SIN,Asia Pacific,Singapore,45,5.33
8.217.181.213,2096,2096,true,HKG,Asia Pacific,Hong Kong,75,5.32
8.210.119.11,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,5.32
47.238.6.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,5.32
8.217.121.207,8443,8443,true,HKG,Asia Pacific,Hong Kong,100,5.32
8.219.142.191,2087,2087,true,SIN,Asia Pacific,Singapore,23,5.31
47.236.75.113,2096,2096,true,SIN,Asia Pacific,Singapore,48,5.31
8.217.91.121,8443,8443,true,HKG,Asia Pacific,Hong Kong,38,5.31
8.219.174.213,2053,2053,true,SIN,Asia Pacific,Singapore,830,5.31
47.236.253.41,2087,2087,true,SIN,Asia Pacific,Singapore,74,5.31
8.222.169.222,2096,2096,true,SIN,Asia Pacific,Singapore,62,5.30
47.237.121.38,2053,2053,true,SIN,Asia Pacific,Singapore,22,5.29
8.219.97.50,2096,2096,true,SIN,Asia Pacific,Singapore,48,5.29
47.243.234.9,8443,8443,true,HKG,Asia Pacific,Hong Kong,106,5.28
47.243.169.63,8443,8443,true,HKG,Asia Pacific,Hong Kong,136,5.28
47.245.96.80,2053,2053,true,SIN,Asia Pacific,Singapore,34,5.28
8.218.2.181,2083,2083,true,HKG,Asia Pacific,Hong Kong,49,5.27
47.76.37.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,127,5.27
47.242.171.94,2087,2087,true,HKG,Asia Pacific,Hong Kong,437,5.27
8.218.204.128,2083,2083,true,HKG,Asia Pacific,Hong Kong,99,5.26
8.218.18.132,2053,2053,true,HKG,Asia Pacific,Hong Kong,87,5.26
8.217.250.5,2053,2053,true,HKG,Asia Pacific,Hong Kong,127,5.25
47.76.227.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,42,5.25
47.236.17.193,2083,2083,true,SIN,Asia Pacific,Singapore,86,5.25
47.237.0.31,2053,2053,true,SIN,Asia Pacific,Singapore,62,5.25
47.76.204.76,2096,2096,true,HKG,Asia Pacific,Hong Kong,86,5.25
