IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
144.21.49.120,443,443,true,FRA,Europe,Frankfurt,178,9.72
141.147.93.134,443,443,true,FRA,Europe,Frankfurt,178,9.70
84.235.162.245,443,443,true,FRA,Europe,Frankfurt,178,9.70
84.235.175.112,443,443,true,FRA,Europe,Frankfurt,179,9.69
132.226.210.33,443,443,true,FRA,Europe,Frankfurt,174,9.68
144.24.180.34,443,443,true,FRA,Europe,Frankfurt,176,9.68
144.21.59.35,443,443,true,FRA,Europe,Frankfurt,188,9.64
158.178.157.27,443,443,true,FRA,Europe,Frankfurt,183,9.64
141.147.16.152,8443,443,true,FRA,Europe,Frankfurt,168,9.63
89.168.64.112,443,443,true,FRA,Europe,Frankfurt,183,9.58
79.72.77.8,443,443,true,FRA,Europe,Frankfurt,177,9.55
150.230.42.80,443,443,true,SJC,North America,San Jose,183,9.53
158.101.208.146,443,443,true,FRA,Europe,Frankfurt,165,9.52
144.21.54.76,443,443,true,FRA,Europe,Frankfurt,175,9.47
152.67.231.226,443,443,true,SJC,North America,San Jose,170,9.46
84.235.162.116,443,443,true,FRA,Europe,Frankfurt,178,9.43
143.47.186.206,443,443,true,FRA,Europe,Frankfurt,178,9.43
193.123.34.195,443,443,true,FRA,Europe,Frankfurt,173,9.41
144.24.183.11,443,443,true,FRA,Europe,Frankfurt,171,9.39
130.162.238.50,443,443,true,FRA,Europe,Frankfurt,168,9.36
140.238.1.158,443,443,true,SJC,North America,San Jose,113,9.35
141.148.240.140,443,443,true,FRA,Europe,Frankfurt,176,9.35
152.70.60.223,443,443,true,FRA,Europe,Frankfurt,177,9.34
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,175,9.33
141.147.65.104,443,443,true,FRA,Europe,Frankfurt,183,9.32
141.147.101.97,443,443,true,FRA,Europe,Frankfurt,168,9.30
138.2.149.238,443,443,true,FRA,Europe,Frankfurt,198,9.28
138.2.174.69,443,443,true,FRA,Europe,Frankfurt,193,9.25
158.178.153.238,443,443,true,FRA,Europe,Frankfurt,180,9.23
144.21.51.54,443,443,true,FRA,Europe,Frankfurt,178,9.19
130.162.170.31,443,443,true,FRA,Europe,Frankfurt,173,9.19
141.147.82.115,443,443,true,FRA,Europe,Frankfurt,188,9.17
132.226.202.30,443,443,true,FRA,Europe,Frankfurt,178,9.12
143.47.183.95,443,443,true,FRA,Europe,Frankfurt,185,9.08
143.47.251.253,443,443,true,FRA,Europe,Frankfurt,172,9.07
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,164,9.06
192.9.138.241,443,443,true,SJC,North America,San Jose,196,9.05
141.147.106.138,443,443,true,FRA,Europe,Frankfurt,186,9.05
130.162.185.48,443,443,true,FRA,Europe,Frankfurt,177,9.04
143.47.242.26,443,443,true,FRA,Europe,Frankfurt,187,9.04
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,160,9.04
152.70.55.183,443,443,true,FRA,Europe,Frankfurt,178,9.04
141.147.97.165,443,443,true,FRA,Europe,Frankfurt,175,9.03
138.2.141.245,443,443,true,FRA,Europe,Frankfurt,173,8.91
144.24.160.5,443,443,true,FRA,Europe,Frankfurt,199,8.87
130.162.227.46,443,443,true,FRA,Europe,Frankfurt,174,8.79
158.178.156.41,443,443,true,FRA,Europe,Frankfurt,182,8.78
89.168.86.249,443,443,true,FRA,Europe,Frankfurt,176,8.74
141.144.199.230,443,443,true,FRA,Europe,Frankfurt,179,8.73
79.72.78.180,443,443,true,FRA,Europe,Frankfurt,183,8.73
193.122.12.116,443,443,true,FRA,Europe,Frankfurt,196,8.72
138.2.157.236,443,443,true,FRA,Europe,Frankfurt,186,8.72
143.47.252.2,443,443,true,FRA,Europe,Frankfurt,175,8.61
192.9.246.112,8443,443,true,SJC,North America,San Jose,190,8.60
138.2.174.106,443,443,true,FRA,Europe,Frankfurt,200,8.58
144.21.36.59,443,443,true,FRA,Europe,Frankfurt,173,8.57
129.159.198.124,443,443,true,FRA,Europe,Frankfurt,178,8.56
164.152.26.70,2052,443,true,ORD,North America,Chicago,204,8.56
130.162.249.152,443,443,true,FRA,Europe,Frankfurt,166,8.55
146.235.208.148,443,443,true,SJC,North America,San Jose,172,8.46
143.47.182.147,443,443,true,FRA,Europe,Frankfurt,182,8.45
141.147.110.199,443,443,true,FRA,Europe,Frankfurt,176,8.39
132.145.246.135,443,443,true,FRA,Europe,Frankfurt,179,8.39
138.2.180.155,443,443,true,FRA,Europe,Frankfurt,184,8.39
138.2.138.113,443,443,true,FRA,Europe,Frankfurt,205,8.38
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,178,8.37
144.21.38.124,443,443,true,FRA,Europe,Frankfurt,166,8.35
141.145.205.115,8443,8443,true,CDG,Europe,Paris,158,8.23
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,173,8.09
143.47.240.122,443,443,true,FRA,Europe,Frankfurt,160,8.04
164.152.26.70,2086,443,true,ORD,North America,Chicago,211,7.99
141.148.232.43,443,443,true,FRA,Europe,Frankfurt,165,7.90
158.178.153.80,2096,443,true,AMS,Europe,Amsterdam,176,7.90
141.147.85.247,443,443,true,FRA,Europe,Frankfurt,159,7.81
143.47.228.22,443,443,true,FRA,Europe,Frankfurt,159,7.80
155.248.178.58,80,443,true,NRT,Asia Pacific,Tokyo,71,7.73
89.168.112.118,2096,443,true,FRA,Europe,Frankfurt,167,7.64
84.235.167.72,443,443,true,FRA,Europe,Frankfurt,174,7.59
144.24.243.207,443,443,true,MXP,Europe,Milan,148,7.58
130.162.36.233,443,443,true,FRA,Europe,Frankfurt,167,7.56
84.235.165.138,443,443,true,FRA,Europe,Frankfurt,178,7.55
130.162.174.34,443,443,true,FRA,Europe,Frankfurt,173,7.50
