IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.36.78,2096,2096,true,HKG,Asia Pacific,Hong Kong,70,6.28
47.236.9.152,8443,8443,true,SIN,Asia Pacific,Singapore,36,6.28
8.218.52.115,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,6.26
47.238.43.79,8443,8443,true,HKG,Asia Pacific,Hong Kong,52,6.26
47.238.43.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,6.26
47.242.176.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,48,6.25
8.219.170.232,2087,2087,true,SIN,Asia Pacific,Singapore,52,6.25
47.236.121.23,2053,2053,true,SIN,Asia Pacific,Singapore,50,6.24
8.210.175.109,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,6.24
47.236.180.24,2096,2096,true,SIN,Asia Pacific,Singapore,110,6.23
47.238.40.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,119,6.23
47.236.5.223,2087,2087,true,SIN,Asia Pacific,Singapore,59,6.23
47.76.49.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,6.23
8.217.250.222,2083,2083,true,HKG,Asia Pacific,Hong Kong,92,6.22
8.210.174.156,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,6.22
8.210.85.222,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,6.21
47.236.125.62,2087,2087,true,NRT,Asia Pacific,Tokyo,158,6.20
47.236.10.182,8443,8443,true,SIN,Asia Pacific,Singapore,45,6.19
47.242.125.241,2083,2083,true,HKG,Asia Pacific,Hong Kong,58,6.19
47.236.144.48,2087,2087,true,SIN,Asia Pacific,Singapore,111,6.18
47.76.189.102,2053,2053,true,HKG,Asia Pacific,Hong Kong,78,6.18
8.222.169.222,8443,8443,true,SIN,Asia Pacific,Singapore,66,6.18
47.76.29.115,2083,2083,true,HKG,Asia Pacific,Hong Kong,47,6.18
47.236.146.249,2096,2096,true,SIN,Asia Pacific,Singapore,68,6.17
8.222.144.50,2083,2083,true,SIN,Asia Pacific,Singapore,72,6.17
8.222.249.190,2053,2053,true,SIN,Asia Pacific,Singapore,87,6.17
47.238.35.50,2053,2053,true,HKG,Asia Pacific,Hong Kong,73,6.17
47.245.126.151,2053,2053,true,SIN,Asia Pacific,Singapore,29,6.17
8.222.181.117,2053,2053,true,SIN,Asia Pacific,Singapore,63,6.16
47.236.10.182,2087,2087,true,SIN,Asia Pacific,Singapore,40,6.16
8.210.63.130,2087,2087,true,HKG,Asia Pacific,Hong Kong,62,6.15
8.217.147.230,2087,2087,true,HKG,Asia Pacific,Hong Kong,57,6.15
8.219.177.205,2083,2083,true,SIN,Asia Pacific,Singapore,111,6.14
8.210.9.129,2096,2096,true,HKG,Asia Pacific,Hong Kong,114,6.14
8.217.147.230,2083,2083,true,HKG,Asia Pacific,Hong Kong,50,6.14
47.243.255.224,2096,2096,true,HKG,Asia Pacific,Hong Kong,65,6.14
8.217.193.25,2087,2087,true,HKG,Asia Pacific,Hong Kong,86,6.12
8.210.66.190,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,6.11
8.210.85.222,2087,2087,true,HKG,Asia Pacific,Hong Kong,62,6.11
47.243.203.119,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,6.11
47.76.37.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,64,6.10
8.219.142.191,2096,2096,true,SIN,Asia Pacific,Singapore,57,6.10
8.210.207.214,2096,2096,true,HKG,Asia Pacific,Hong Kong,58,6.10
47.245.126.151,2083,2083,true,SIN,Asia Pacific,Singapore,15,6.10
47.238.43.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,103,6.09
8.219.235.164,2053,2053,true,SIN,Asia Pacific,Singapore,44,6.09
8.219.78.188,8443,8443,true,SIN,Asia Pacific,Singapore,128,6.09
47.243.186.171,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,6.09
47.238.0.114,2096,2096,true,HKG,Asia Pacific,Hong Kong,89,6.08
47.236.80.110,2053,2053,true,SIN,Asia Pacific,Singapore,55,6.08
47.236.253.41,2096,2096,true,SIN,Asia Pacific,Singapore,60,6.07
47.236.75.113,2083,2083,true,SIN,Asia Pacific,Singapore,36,6.07
47.242.171.94,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,6.07
8.218.3.12,2053,2053,true,HKG,Asia Pacific,Hong Kong,67,6.07
47.236.9.152,2087,2087,true,SIN,Asia Pacific,Singapore,44,6.06
47.236.253.41,2053,2053,true,SIN,Asia Pacific,Singapore,51,6.06
8.222.215.228,2096,2096,true,SIN,Asia Pacific,Singapore,43,6.06
47.76.213.245,2053,2053,true,HKG,Asia Pacific,Hong Kong,85,6.06
8.218.65.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,6.06
8.217.149.28,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,6.06
8.219.229.190,8443,8443,true,SIN,Asia Pacific,Singapore,95,6.06
8.217.91.121,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,6.05
47.238.40.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,91,6.04
47.245.114.163,2083,2083,true,SIN,Asia Pacific,Singapore,30,6.03
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,61,6.02
47.245.105.224,2087,2087,true,SIN,Asia Pacific,Singapore,77,6.01
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,58,6.01
47.76.29.115,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,6.01
8.222.222.64,443,443,true,SIN,Asia Pacific,Singapore,46,6.01
47.243.90.180,2087,2087,true,HKG,Asia Pacific,Hong Kong,57,6.01
47.236.170.225,2087,2087,true,SIN,Asia Pacific,Singapore,40,5.99
8.219.78.188,2083,2083,true,SIN,Asia Pacific,Singapore,44,5.99
8.217.221.165,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,5.99
8.219.209.14,2083,2083,true,SIN,Asia Pacific,Singapore,66,5.99
47.236.17.193,2096,2096,true,SIN,Asia Pacific,Singapore,42,5.99
8.222.160.176,2087,2087,true,SIN,Asia Pacific,Singapore,86,5.98
8.219.42.72,8443,8443,true,SIN,Asia Pacific,Singapore,73,5.98
47.242.202.230,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,5.98
47.242.155.183,2087,2087,true,HKG,Asia Pacific,Hong Kong,50,5.97
47.237.125.8,8443,8443,true,SIN,Asia Pacific,Singapore,53,5.97
47.243.169.63,2053,2053,true,HKG,Asia Pacific,Hong Kong,41,5.97
47.242.171.94,8443,8443,true,HKG,Asia Pacific,Hong Kong,79,5.96
8.210.63.130,8443,8443,true,HKG,Asia Pacific,Hong Kong,37,5.96
8.217.181.213,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,5.95
8.217.149.28,2087,2087,true,HKG,Asia Pacific,Hong Kong,62,5.95
47.243.91.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,72,5.95
8.218.188.129,2087,2087,true,HKG,Asia Pacific,Hong Kong,114,5.95
47.243.51.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,67,5.94
47.243.206.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,77,5.94
47.236.17.193,2053,2053,true,SIN,Asia Pacific,Singapore,63,5.94
8.210.39.96,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,5.93
47.237.92.26,8443,8443,true,SIN,Asia Pacific,Singapore,56,5.93
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,51,5.92
8.219.66.156,2083,2083,true,NRT,Asia Pacific,Tokyo,188,5.91
8.217.121.207,2053,2053,true,HKG,Asia Pacific,Hong Kong,62,5.91
8.217.149.28,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,5.90
8.217.232.246,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,5.90
47.237.121.38,2087,2087,true,SIN,Asia Pacific,Singapore,64,5.90
47.236.144.196,2096,2096,true,SIN,Asia Pacific,Singapore,66,5.90
47.236.17.193,2087,2087,true,SIN,Asia Pacific,Singapore,36,5.90
47.236.232.148,2087,2087,true,SIN,Asia Pacific,Singapore,74,5.89
47.236.150.13,2053,2053,true,SIN,Asia Pacific,Singapore,66,5.88
47.76.189.102,2053,2053,true,HKG,Asia Pacific,Hong Kong,46,5.88
8.210.63.130,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,5.87
8.217.127.73,2083,2083,true,HKG,Asia Pacific,Hong Kong,49,5.87
47.76.222.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,5.87
8.218.11.90,2087,2087,true,HKG,Asia Pacific,Hong Kong,101,5.87
8.219.235.164,2083,2083,true,SIN,Asia Pacific,Singapore,88,5.87
47.238.40.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,96,5.86
8.219.210.57,2053,2053,true,SIN,Asia Pacific,Singapore,54,5.86
8.217.123.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,67,5.85
47.242.176.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,78,5.85
47.243.173.187,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,5.85
8.222.160.176,8443,8443,true,SIN,Asia Pacific,Singapore,50,5.84
47.243.91.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,55,5.84
8.219.87.30,2096,2096,true,SIN,Asia Pacific,Singapore,77,5.82
8.222.181.117,2083,2083,true,SIN,Asia Pacific,Singapore,44,5.82
47.237.8.82,2053,2053,true,SIN,Asia Pacific,Singapore,56,5.81
47.236.5.223,2096,2096,true,SIN,Asia Pacific,Singapore,58,5.81
8.222.214.231,2053,2053,true,SIN,Asia Pacific,Singapore,37,5.80
8.219.99.169,8443,8443,true,SIN,Asia Pacific,Singapore,93,5.79
47.245.118.70,8443,8443,true,SIN,Asia Pacific,Singapore,53,5.79
47.236.144.208,2053,2053,true,SIN,Asia Pacific,Singapore,69,5.79
47.243.42.219,2083,2083,true,HKG,Asia Pacific,Hong Kong,86,5.78
8.218.228.152,2083,2083,true,HKG,Asia Pacific,Hong Kong,60,5.78
8.222.144.50,2053,2053,true,SIN,Asia Pacific,Singapore,63,5.77
8.210.100.23,2083,2083,true,HKG,Asia Pacific,Hong Kong,41,5.77
47.242.202.230,8443,8443,true,HKG,Asia Pacific,Hong Kong,41,5.76
8.217.239.116,2083,2083,true,HKG,Asia Pacific,Hong Kong,91,5.76
8.218.74.119,2053,2053,true,HKG,Asia Pacific,Hong Kong,52,5.75
8.219.235.164,2087,2087,true,SIN,Asia Pacific,Singapore,53,5.75
8.218.136.25,2083,2083,true,HKG,Asia Pacific,Hong Kong,91,5.75
8.217.127.73,2053,2053,true,HKG,Asia Pacific,Hong Kong,72,5.75
8.218.81.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,62,5.74
47.236.180.24,2087,2087,true,SIN,Asia Pacific,Singapore,44,5.74
8.210.21.65,2087,2087,true,HKG,Asia Pacific,Hong Kong,81,5.74
47.243.27.217,2083,2083,true,HKG,Asia Pacific,Hong Kong,58,5.73
47.238.0.114,2053,2053,true,HKG,Asia Pacific,Hong Kong,78,5.73
8.222.222.64,2053,2053,true,SIN,Asia Pacific,Singapore,49,5.72
